,,,Mg/Ca,StDev,,RelStDev
18296,9087,8352,0.114044,0.035556,9087,0.311774402862053
18361,9170,8349,0.087444,0.029475,9170,0.337072869493619
18427,9254,8347,0.060411,0.007138,9254,0.118157289235404
18493,9337,8344,0.04654,0.010155,9337,0.218199398366996
18548,9421,8341,0.041132,0.009662,9421,0.234902265875717
18603,9505,8339,0.03617,0.006132,9505,0.169532761957423
18658,9589,8336,0.042997,0.007588,9589,0.176477428657813
18713,9672,8334,0.038691,0.005853,9672,0.15127549042413
18768,9756,8331,0.042293,0.009862,9756,0.23318279620741
18823,9840,8328,0.033358,0.004777,9840,0.143204029018526
18878,9924,8326,0.038583,0.004084,9924,0.105849726563512
18933,10008,8323,0.046604,0.008046,10008,0.172646124796155
18988,10092,8321,0.043103,0.008288,10092,0.192283599749437
19043,10175,8318,0.04446,0.018928,10175,0.425730994152047
19098,10259,8315,0.071882,0.028872,10259,0.401658273281211
19153,10343,8313,0.068524,0.009427,10343,0.137572237464246
19208,10427,8310,0.080649,0.024344,10427,0.301851231881362
19241,10528,8307,0.083633,0.030508,10528,0.364784235887748
19275,10628,8304,0.082659,0.021038,10628,0.254515539747638
19308,10729,8301,0.082457,0.022461,10729,0.272396521823496
19341,10830,8297,0.058898,0.020802,10830,0.353186865428368
19374,10931,8294,0.054941,0.008935,10931,0.162629002020349
19408,11031,8291,0.06048,0.004678,11031,0.0773478835978836
19441,11132,8288,0.054088,0.006277,11132,0.116051619582902
19491,11220,8285,0.071187,0.010271,11220,0.144281961594111
19541,11307,8282,0.05121,0.007894,11307,0.154149580160125
19590,11395,8280,0.047131,0.007969,11395,0.169081920604273
19640,11482,8277,0.043226,0.011211,11482,0.259357793920326
19690,11570,8274,0.0507,0.011701,11570,0.230788954635108
19740,11657,8271,0.040318,0.008134,11657,0.201746118359046
19790,11745,8269,0.044329,0.007937,11745,0.179047576078865
19840,11832,8266,0.050196,0.010843,11832,0.216013228145669
19889,11920,8263,0.063852,0.050933,11920,0.797672743218693
19939,12008,8260,0.036044,0.010456,12008,0.29008989013428
19989,12095,8258,0.037811,0.009772,12095,0.258443310147841
20039,12183,8255,0.040189,0.008768,12183,0.218169150762646
20089,12270,8252,0.044979,0.004405,12270,0.0979345916983481
20138,12358,8249,0.038055,0.01074,12358,0.282223098147418
20188,12445,8247,0.029151,0.002917,12445,0.100065177866969
20238,12533,8244,0.032082,0.004816,12533,0.150115329468238
20301,12612,8242,0.028049,0.011175,12612,0.39840992548754
20364,12691,8239,0.027277,0.004217,12691,0.15459911280566
20428,12770,8237,0.031508,0.007149,12770,0.22689475688714
20491,12849,8234,0.031196,0.01226,12849,0.392999102449032
20554,12928,8232,0.031588,0.009374,12928,0.296758262631379
20618,13007,8229,0.03292,0.008107,13007,0.246263669501823
