y,x,z,mg_ca,st_dev,dist,sample_mode
9777,7271,9117,0.046044,0.007474,NA,map
9856,7334,9113,0.039895,0.01086,NA,map
9936,7397,9109,0.046447,0.010373,NA,map
10016,7460,9105,0.04035,0.016396,NA,map
10120,7560,9098,0.031673,0.006255,NA,map
10224,7660,9091,0.045533,0.008982,NA,map
10277,7758,9085,0.030442,0.004511,NA,map
10329,7855,9079,0.052931,0.010681,NA,map
10382,7953,9072,0.038773,0.008809,NA,map
10434,8050,9066,0.048544,0.022568,NA,map
10487,8148,9059,0.048332,0.002748,NA,map
10542,8232,9054,0.03898,0.005759,NA,map
10598,8316,9048,0.058265,0.012142,NA,map
10654,8400,9043,0.052282,0.00673,NA,map
10709,8483,9037,0.065251,0.017928,NA,map
10764,8567,9032,0.059377,0.015995,NA,map
10820,8651,9026,0.05071,0.013244,NA,map
10888,8731,9021,0.067762,0.006826,NA,map
10955,8812,9016,0.058579,0.006496,NA,map
11023,8892,9011,0.079781,0.009559,NA,map
11090,8972,9005,0.064269,0.016946,NA,map
11158,9052,9000,0.070094,0.017544,NA,map
11226,9133,8995,0.063438,0.022849,NA,map
11293,9213,8989,0.054585,0.01423,NA,map
11361,9293,8984,0.049969,0.009252,NA,map
11428,9374,8979,0.048869,0.003312,NA,map
11496,9454,8973,0.038647,0.005123,NA,map
11548,9553,8967,0.069401,0.013293,NA,map
11600,9653,8960,0.082275,0.013333,NA,map
11652,9752,8954,0.039033,0.006686,NA,map
11704,9852,8947,0.034722,0.011131,NA,map
11756,9951,8941,0.048225,0.010387,NA,map
11808,10051,8934,0.040235,0.015462,NA,map
11860,10150,8928,0.053852,0.020358,NA,map
11927,10235,8922,0.048063,0.00926,NA,map
11993,10320,8917,0.036106,0.00609,NA,map
12060,10405,8911,0.044018,0.014402,NA,map
12127,10491,8905,0.050328,0.016786,NA,map
12194,10576,8900,0.029379,0.009988,NA,map
12260,10661,8894,0.032185,0.009989,NA,map
12327,10746,8889,0.035478,0.003899,NA,map
12370,10843,8882,0.031058,0.009276,NA,map
12413,10939,8876,0.025491,0.006947,NA,map
12456,11036,8870,0.024781,0.003848,NA,map
12499,11133,8863,0.025246,0.006566,NA,map
12542,11230,8857,0.031079,0.005588,NA,map
12584,11326,8851,0.033644,0.005446,NA,map
12627,11423,8844,0.042589,0.005376,NA,map
12670,11520,8838,0.044231,0.006647,NA,map
12713,11617,8832,0.052884,0.004555,NA,map
12756,11713,8825,0.040266,0.01094,NA,map
12799,11810,8819,0.0309,0.0064,NA,map
12842,11907,8813,0.049662,0.017291,NA,map
12885,12003,8806,0.038105,0.004325,NA,map
12928,12100,8800,0.03592,0.016186,NA,map
12970,12197,8794,0.034979,0.009673,NA,map
13013,12293,8787,0.033446,0.006211,NA,map
13056,12390,8781,0.048581,0.017386,NA,map
13099,12487,8775,0.044148,0.006591,NA,map
13142,12583,8768,0.039986,0.005273,NA,map
13185,12680,8762,0.031162,0.01231,NA,map
13228,12777,8756,0.041718,0.017616,NA,map
13271,12873,8749,0.037664,0.007017,NA,map
13313,12970,8743,0.04194,0.006628,NA,map
13356,13067,8737,0.039439,0.006854,NA,map
13399,13163,8731,0.031215,0.002839,NA,map
13442,13260,8724,0.047868,0.022378,NA,map
13483,13358,8718,0.033124,0.010596,NA,map
13524,13456,8711,0.030785,0.010272,NA,map
13565,13554,8705,0.039723,0.006477,NA,map
13606,13652,8699,0.034031,0.011217,NA,map
13647,13750,8692,0.028315,0.005845,NA,map
13688,13848,8686,0.03003,0.001786,NA,map
13729,13946,8679,0.030967,0.010659,NA,map
13771,14044,8673,0.038538,0.007127,NA,map
13812,14142,8666,0.039665,0.015293,NA,map
13853,14240,8660,0.035132,0.006455,NA,map
13894,14338,8654,0.041854,0.009191,NA,map
13935,14436,8647,0.032442,0.005625,NA,map
13976,14534,8641,0.02926,0.002678,NA,map
14017,14632,8634,0.03271,0.006306,NA,map
14058,14730,8628,0.037836,0.008205,NA,map
14092,14828,8622,0.037636,0.011125,NA,map
14126,14926,8615,0.037421,0.008441,NA,map
14160,15023,8609,0.045799,0.00751,NA,map
14194,15121,8602,0.047513,0.005661,NA,map
14228,15219,8596,0.040151,0.018024,NA,map
