X,Y,Z,MgCa,Err
6570.000000,1241.000000,6083.000000,0.062729,NaN
6630.000000,1155.000000,6084.000000,0.057493,NaN
6690.000000,1069.000000,6086.000000,0.059293,NaN
6750.000000,983.000000,6087.000000,0.071745,NaN
6810.000000,897.000000,6089.000000,0.104609,NaN
6870.000000,811.000000,6090.000000,0.076333,NaN
6930.000000,725.000000,6091.000000,0.089145,NaN
6990.000000,639.000000,6093.000000,0.074225,NaN
7054.000000,561.000000,6095.000000,0.105071,NaN
7117.000000,483.000000,6096.000000,0.058121,NaN
7181.000000,405.000000,6098.000000,0.063194,NaN
7244.000000,327.000000,6100.000000,0.056667,NaN
7308.000000,249.000000,6102.000000,0.060849,NaN
7371.000000,172.000000,6104.000000,0.057575,NaN
7435.000000,94.000000,6105.000000,0.072350,NaN
7498.000000,16.000000,6107.000000,0.083213,NaN
7562.000000,-62.000000,6109.000000,0.060981,NaN
7625.000000,-140.000000,6111.000000,0.070378,NaN
7689.000000,-218.000000,6112.000000,0.075765,NaN
7544.000000,-218.000000,6106.000000,0.296767,NaN
7399.000000,-218.000000,6099.000000,0.330402,NaN
7094.000000,120.000000,6090.000000,0.293056,NaN
7030.000000,224.000000,6089.000000,0.342426,NaN
6967.000000,328.000000,6087.000000,0.341908,NaN
6904.000000,431.000000,6086.000000,0.355311,NaN
6840.000000,535.000000,6084.000000,0.313608,NaN
6786.000000,622.000000,6083.000000,0.334005,NaN
6732.000000,710.000000,6082.000000,0.319236,NaN
6678.000000,797.000000,6081.000000,0.308953,NaN
6624.000000,884.000000,6080.000000,0.305999,NaN
6573.000000,978.000000,6079.000000,0.267074,NaN
6522.000000,1072.000000,6078.000000,0.114037,NaN
