y,x,z,mg_ca,st_dev,part,sample_mode,dist
4098,-5149,10916,0.471619,0.052556,A,map,NA
4034,-5191,10916,0.460899,0.097585,A,map,NA
3970,-5234,10916,0.469911,0.045167,A,map,NA
3906,-5276,10917,0.524881,0.048097,A,map,NA
3842,-5320,10917,0.504723,0.038372,A,map,NA
3777,-5363,10918,0.545802,0.042291,A,map,NA
3713,-5407,10918,0.580201,0.034246,A,map,NA
3649,-5451,10918,0.548612,0.025711,A,map,NA
3584,-5494,10919,0.579594,0.047906,A,map,NA
3520,-5538,10919,0.559073,0.078369,A,map,NA
3456,-5582,10920,0.51384,0.051986,A,map,NA
3391,-5625,10920,0.547786,0.03729,A,map,NA
3327,-5669,10921,0.465627,0.033666,A,map,NA
3263,-5713,10921,0.497001,0.033065,A,map,NA
3198,-5756,10921,0.495044,0.029465,A,map,NA
3134,-5800,10922,0.497948,0.063455,A,map,NA
3070,-5844,10922,0.415104,0.051416,A,map,NA
3005,-5887,10923,0.404499,0.043132,A,map,NA
2941,-5931,10923,0.372613,0.016539,A,map,NA
2877,-5975,10924,0.404607,0.049685,A,map,NA
2812,-6018,10924,0.388061,0.044703,A,map,NA
2748,-6062,10924,0.346372,0.058382,A,map,NA
2684,-6106,10925,0.313801,0.035713,A,map,NA
2619,-6149,10925,0.35841,0.035653,A,map,NA
2555,-6193,10926,0.350674,0.03808,A,map,NA
2482,-6236,10926,0.311206,0.05406,A,map,NA
2409,-6280,10926,0.269451,0.043891,A,map,NA
2336,-6323,10927,0.353681,0.084434,A,map,NA
2264,-6366,10927,0.315605,0.044175,A,map,NA
2191,-6410,10927,0.294471,0.047065,A,map,NA
2118,-6453,10927,0.331397,0.047654,A,map,NA
2066,-6515,10929,0.28647,0.06435,A,map,NA
2014,-6577,10930,0.286756,0.029983,A,map,NA
1963,-6638,10931,0.325195,0.041361,A,map,NA
1911,-6700,10933,0.339359,0.086762,A,map,NA
1859,-6762,10934,0.318763,0.024389,A,map,NA
1807,-6824,10935,0.313583,0.043752,A,map,NA
1755,-6886,10937,0.346585,0.043308,A,map,NA
1703,-6948,10938,0.347922,0.038674,A,map,NA
1652,-7009,10939,0.351438,0.029991,A,map,NA
1600,-7071,10940,0.36255,0.082751,A,map,NA
1548,-7133,10942,0.343834,0.081665,A,map,NA
1516,-7202,10944,0.338208,0.03599,A,map,NA
1483,-7271,10946,0.385022,0.046286,A,map,NA
1451,-7340,10948,0.35256,0.04635,A,map,NA
1418,-7409,10949,0.342439,0.018293,A,map,NA
1386,-7478,10951,0.393543,0.024093,A,map,NA
1354,-7547,10953,0.397788,0.018224,A,map,NA
1321,-7616,10955,0.38434,0.030755,A,map,NA
1289,-7685,10957,0.335013,0.019006,A,map,NA
1257,-7754,10959,0.378695,0.025126,A,map,NA
1224,-7823,10961,0.369485,0.021311,A,map,NA
1192,-7892,10963,0.355333,0.016385,A,map,NA
1159,-7961,10965,0.378216,0.03598,A,map,NA
1127,-8030,10967,0.382755,0.011749,A,map,NA
1098,-8107,10969,0.343847,0.034687,A,map,NA
1070,-8183,10971,0.380553,0.025227,A,map,NA
1041,-8260,10973,0.357872,0.029625,A,map,NA
1013,-8337,10976,0.338367,0.029356,A,map,NA
984,-8414,10978,0.362685,0.041355,A,map,NA
956,-8490,10980,0.351565,0.037647,A,map,NA
927,-8567,10983,0.358318,0.020429,A,map,NA
884,-8631,10984,0.418861,0.038895,A,map,NA
841,-8694,10986,0.358373,0.030054,A,map,NA
798,-8758,10987,0.357252,0.033136,A,map,NA
754,-8822,10989,0.344126,0.02479,A,map,NA
711,-8886,10990,0.338183,0.021226,A,map,NA
668,-8950,10992,0.290159,0.017867,A,map,NA
625,-9013,10993,0.315569,0.019384,A,map,NA
582,-9077,10995,0.300544,0.029102,A,map,NA
538,-9141,10996,0.283492,0.027161,A,map,NA
495,-9205,10998,0.297583,0.023381,A,map,NA
452,-9268,10999,0.280807,0.025113,A,map,NA
409,-9332,11001,0.265568,0.026807,A,map,NA
377,-9406,11003,0.2607,0.033691,A,map,NA
345,-9481,11005,0.269005,0.006972,A,map,NA
313,-9555,11007,0.247585,0.018265,A,map,NA
281,-9629,11009,0.257949,0.012597,A,map,NA
248,-9704,11011,0.266597,0.04021,A,map,NA
216,-9778,11014,0.227693,0.029011,A,map,NA
184,-9852,11016,0.240435,0.038098,A,map,NA
152,-9926,11018,0.290908,0.053763,A,map,NA
120,-10001,11020,0.30232,0.029116,A,map,NA
200,-9990,11021,0.420663,0.053696,A,map,NA
