y,x,z,mg_ca,st_dev,sample_mode,dist
14449,31788,7625,0.302685,0.045128,map,NA
14366,31853,7623,0.444742,0.215383,map,NA
14283,31917,7620,0.412335,0.090415,map,NA
14200,31981,7618,0.390182,0.057409,map,NA
14117,32045,7616,0.554182,0.336967,map,NA
14034,32109,7614,0.435391,0.088902,map,NA
13951,32173,7612,0.495928,0.11849,map,NA
13868,32237,7610,0.40178,0.065134,map,NA
13777,32283,7608,0.316909,0.054808,map,NA
13685,32329,7607,0.296818,0.027678,map,NA
13594,32375,7605,0.356198,0.100528,map,NA
13503,32421,7604,0.310317,0.025736,map,NA
13411,32466,7602,0.275752,0.035228,map,NA
13320,32512,7600,0.258773,0.011932,map,NA
13229,32558,7599,0.289894,0.045641,map,NA
13137,32604,7597,0.287038,0.032732,map,NA
13046,32650,7596,0.376901,0.038491,map,NA
12945,32692,7594,0.329072,0.018403,map,NA
12844,32734,7593,0.353954,0.0659,map,NA
12744,32776,7591,0.526828,0.088444,map,NA
12643,32818,7590,0.470873,0.111552,map,NA
12542,32860,7589,0.460336,0.091903,map,NA
12441,32902,7587,0.441669,0.05517,map,NA
12340,32944,7586,0.326291,0.031757,map,NA
12240,32986,7584,0.383937,0.05721,map,NA
12139,33028,7583,0.347005,0.074885,map,NA
12038,33070,7581,0.319866,0.031626,map,NA
11953,33123,7580,0.307167,0.045922,map,NA
11868,33177,7578,0.235482,0.041537,map,NA
11782,33230,7576,0.221425,0.018931,map,NA
11697,33284,7574,0.236847,0.010365,map,NA
11612,33337,7572,0.258544,0.051773,map,NA
11527,33390,7571,0.294748,0.033911,map,NA
11441,33444,7569,0.381044,0.016165,map,NA
11356,33497,7567,0.464532,0.056638,map,NA
11271,33550,7565,0.533807,0.070993,map,NA
11186,33604,7564,0.572323,0.13914,map,NA
11100,33657,7562,0.338388,0.072945,map,NA
11015,33711,7560,0.360267,0.028274,map,NA
10930,33764,7558,0.320047,0.060415,map,NA
10839,33821,7556,0.329187,0.03818,map,NA
10748,33878,7554,0.292,0.031652,map,NA
10657,33936,7552,0.257301,0.027528,map,NA
10566,33993,7551,0.211091,0.016143,map,NA
10475,34050,7549,0.327212,0.043502,map,NA
10385,34107,7547,0.574054,0.067084,map,NA
10294,34164,7545,0.489658,0.068661,map,NA
10203,34221,7543,0.375773,0.051033,map,NA
10112,34279,7541,0.372778,0.024619,map,NA
10021,34336,7539,0.239225,0.024741,map,NA
9930,34393,7537,0.217085,0.027295,map,NA
