y,x,z,mg_ca,st_dev,dist,sample_mode
17871,13265,7957,0.253758,0.028073,NA,map
17846,13162,7957,0.213585,0.019954,NA,map
17820,13060,7957,0.232882,0.046847,NA,map
17795,12957,7957,0.248344,0.049965,NA,map
17769,12855,7958,0.224628,0.035774,NA,map
17744,12752,7958,0.212256,0.020505,NA,map
17718,12650,7958,0.253063,0.029001,NA,map
17685,12550,7959,0.218906,0.062532,NA,map
17651,12450,7960,0.18495,0.016367,NA,map
17618,12350,7960,0.339119,0.052368,NA,map
17585,12251,7961,0.177676,0.099301,NA,map
17551,12151,7961,0.210781,0.048994,NA,map
17518,12051,7962,0.22554,0.130389,NA,map
17483,11955,7962,0.257014,0.050117,NA,map
17448,11859,7963,0.504236,0.099523,NA,map
17413,11764,7963,0.737035,0.258349,NA,map
17377,11668,7964,0.764024,0.315831,NA,map
17342,11572,7965,0.805314,0.197364,NA,map
17307,11476,7965,0.748524,0.569967,NA,map
17272,11381,7966,0.570002,0.318153,NA,map
17237,11285,7966,0.823225,0.372646,NA,map
17202,11189,7967,0.82835,0.309932,NA,map
17166,11093,7968,0.741504,0.214747,NA,map
17131,10998,7968,0.894623,0.47953,NA,map
17096,10902,7969,0.178274,0.021275,NA,map
17061,10806,7969,0.367136,0.15869,NA,map
17033,10703,7970,0.312262,0.086836,NA,map
17005,10600,7970,0.421894,0.145648,NA,map
16977,10497,7971,0.365344,0.068146,NA,map
16949,10394,7971,0.284319,0.082558,NA,map
16921,10291,7971,0.321084,0.040736,NA,map
16893,10188,7972,0.514612,0.043343,NA,map
16866,10084,7972,0.382155,0.086421,NA,map
16838,9981,7972,0.43008,0.128531,NA,map
16810,9878,7973,0.350865,0.065079,NA,map
16782,9775,7973,0.398087,0.130839,NA,map
16754,9672,7974,0.241214,0.038908,NA,map
16726,9569,7974,0.28514,0.111029,NA,map
16698,9466,7974,0.329112,0.034285,NA,map
16670,9363,7975,0.337616,0.057231,NA,map
16625,9266,7976,0.277863,0.035553,NA,map
16579,9168,7977,0.372187,0.046438,NA,map
16534,9071,7977,0.366433,0.051135,NA,map
16488,8974,7978,0.540871,0.130574,NA,map
16443,8877,7979,0.335038,0.0589,NA,map
16397,8779,7980,0.436814,0.119575,NA,map
16352,8682,7981,0.39963,0.066093,NA,map
16306,8585,7982,0.363082,0.037505,NA,map
16261,8488,7983,0.298718,0.037663,NA,map
16215,8390,7983,0.418394,0.041252,NA,map
16170,8293,7984,0.34024,0.051104,NA,map
16131,8195,7985,0.371781,0.044666,NA,map
16091,8097,7986,0.479706,0.117335,NA,map
16052,7999,7986,0.34507,0.082416,NA,map
16012,7901,7987,0.456619,0.056592,NA,map
15973,7802,7988,0.334679,0.108572,NA,map
15934,7704,7988,0.354447,0.108839,NA,map
15894,7606,7989,0.395836,0.082507,NA,map
15855,7508,7990,0.3402,0.143008,NA,map
15815,7410,7991,0.245879,0.029064,NA,map
15776,7312,7991,0.205071,0.034894,NA,map
15744,7212,7992,0.475618,0.115126,NA,map
15713,7112,7992,0.680448,0.052552,NA,map
15681,7012,7993,0.666608,0.050162,NA,map
15650,6913,7993,0.505186,0.018514,NA,map
15618,6813,7994,0.486378,0.035815,NA,map
15586,6713,7994,0.553362,0.075462,NA,map
15555,6613,7995,0.700373,0.40075,NA,map
15523,6513,7995,0.526881,0.096794,NA,map
15491,6413,7996,0.424383,0.036842,NA,map
15460,6314,7996,0.521482,0.086884,NA,map
15428,6214,7997,0.514457,0.037809,NA,map
15397,6114,7997,0.558917,0.093048,NA,map
15365,6014,7998,0.555501,0.0536,NA,map
15321,5921,7998,0.459155,0.071129,NA,map
15276,5828,7999,0.449482,0.057407,NA,map
15232,5735,8000,0.480501,0.029716,NA,map
15187,5642,8001,0.441066,0.053087,NA,map
15143,5549,8002,0.439385,0.031806,NA,map
15098,5456,8003,0.437492,0.028488,NA,map
15054,5363,8004,0.528619,0.035519,NA,map
15009,5270,8004,0.495258,0.051031,NA,map
14965,5177,8005,0.46614,0.042538,NA,map
14907,5075,8006,0.437995,0.01474,NA,map
14849,4973,8008,0.468564,0.050313,NA,map
14792,4872,8009,0.405035,0.021554,NA,map
14734,4770,8010,0.444177,0.023449,NA,map
14676,4668,8011,0.461693,0.042024,NA,map
14605,4586,8013,0.4555,0.053515,NA,map
14533,4504,8014,0.490421,0.038337,NA,map
14462,4423,8016,0.520935,0.040796,NA,map
14390,4341,8017,0.536873,0.019024,NA,map
14319,4259,8019,0.582897,0.022548,NA,map
14248,4178,8021,0.734123,0.076893,NA,map
14176,4096,8022,0.611186,0.056508,NA,map
14105,4014,8024,0.707002,0.118826,NA,map
14049,3930,8025,0.499424,0.043232,NA,map
13993,3846,8026,0.631212,0.066462,NA,map
13938,3762,8027,0.543701,0.067141,NA,map
13882,3678,8028,0.492216,0.059873,NA,map
13826,3594,8030,0.490378,0.054365,NA,map
13770,3510,8031,0.583718,0.064527,NA,map
13715,3426,8032,0.480313,0.031268,NA,map
13659,3342,8033,0.528289,0.068061,NA,map
13603,3258,8034,0.510718,0.050356,NA,map
13505,3184,8037,0.420801,0.024087,NA,map
13407,3110,8039,0.450143,0.041331,NA,map
13308,3037,8041,0.406342,0.045174,NA,map
13210,2963,8044,0.415345,0.016061,NA,map
13147,2872,8045,0.406512,0.033653,NA,map
13084,2780,8046,0.478151,0.056743,NA,map
13021,2688,8048,0.413508,0.03262,NA,map
12958,2597,8049,0.395514,0.019759,NA,map
12894,2506,8050,0.42538,0.036721,NA,map
12831,2414,8052,0.383357,0.026886,NA,map
12768,2322,8053,0.38581,0.034366,NA,map
12705,2231,8054,0.378816,0.027247,NA,map
12654,2144,8055,0.402366,0.060633,NA,map
12604,2057,8056,0.366907,0.035921,NA,map
12553,1969,8057,0.368876,0.020898,NA,map
12503,1882,8058,0.40248,0.032046,NA,map
12452,1795,8059,0.429026,0.026034,NA,map
12402,1708,8060,0.430077,0.032518,NA,map
12351,1620,8061,0.406431,0.022664,NA,map
12300,1533,8062,0.431619,0.028101,NA,map
12250,1446,8063,0.442905,0.049952,NA,map
12199,1359,8064,0.480031,0.036137,NA,map
12149,1272,8065,0.466,0.041244,NA,map
12098,1184,8067,0.438116,0.054881,NA,map
12048,1097,8068,0.500858,0.055174,NA,map
11997,1010,8069,0.453739,0.073412,NA,map
11928,934,8070,0.646043,0.05058,NA,map
11860,857,8072,0.574499,0.036252,NA,map
11791,781,8073,0.595494,0.074312,NA,map
11722,704,8075,0.5341,0.09028,NA,map
11653,628,8076,0.533596,0.069886,NA,map
11585,551,8078,0.441895,0.05389,NA,map
11516,475,8079,0.389132,0.094955,NA,map
11443,399,8081,0.390391,0.027044,NA,map
11370,323,8083,0.438473,0.034497,NA,map
11297,247,8084,0.612913,0.017506,NA,map
11224,171,8086,0.434401,0.055095,NA,map
11152,96,8088,0.384279,0.032083,NA,map
11079,20,8089,0.408491,0.076574,NA,map
11006,-56,8091,0.289875,0.016457,NA,map
10933,-132,8092,0.408841,0.040533,NA,map
10860,-208,8094,0.375293,0.03248,NA,map
10791,-290,8096,0.373298,0.055453,NA,map
10721,-372,8097,0.339306,0.044022,NA,map
10652,-454,8099,0.362145,0.013508,NA,map
10583,-536,8100,0.581561,0.063713,NA,map
10514,-618,8102,0.490914,0.052984,NA,map
10444,-700,8103,0.531115,0.039937,NA,map
10375,-782,8105,0.65486,0.250537,NA,map
10306,-864,8106,0.784717,0.113388,NA,map
10237,-941,8108,0.591884,0.078793,NA,map
10168,-1018,8109,0.830856,0.119261,NA,map
10099,-1095,8111,0.765817,0.098396,NA,map
10030,-1172,8112,0.818147,0.088183,NA,map
9960,-1248,8114,0.593531,0.109182,NA,map
9891,-1325,8116,0.468526,0.06496,NA,map
9822,-1402,8117,0.41014,0.071152000000000007,NA,map
9753,-1479,8119,0.481371,0.07083,NA,map
9684,-1556,8120,0.376778,0.021904,NA,map
9606,-1633,8122,0.331242,0.046581,NA,map
9528,-1710,8124,0.335992,0.053992,NA,map
9451,-1787,8125,0.25284,0.026435,NA,map
9373,-1864,8127,0.265466,0.022459,NA,map
9295,-1941,8129,0.242088,0.022904,NA,map
9217,-2018,8131,0.287502,0.023425,NA,map
9139,-2095,8133,0.357384,0.049864,NA,map
9062,-2172,8134,0.33395,0.055546,NA,map
8984,-2249,8136,0.388486,0.029234,NA,map
8906,-2326,8138,0.306773,0.020641,NA,map
8820,-2386,8140,0.300167,0.039414,NA,map
8733,-2447,8142,0.293408,0.043932,NA,map
8647,-2507,8144,0.321067,0.049607,NA,map
8560,-2568,8146,0.210505,0.01969,NA,map
8474,-2628,8148,0.264896,0.048596,NA,map
8387,-2689,8150,0.207069,0.015573,NA,map
8301,-2749,8152,0.20135,0.011421,NA,map
8202,-2783,8155,0.222925,0.01708,NA,map
8103,-2817,8157,0.197262,0.009641,NA,map
8004,-2852,8160,0.187629,0.015566,NA,map
7905,-2886,8162,0.215474,0.022863,NA,map
7806,-2920,8165,0.247094,0.018182,NA,map
7707,-2903,8167,0.258482,0.03692,NA,map
7607,-2887,8170,0.366859,0.014183,NA,map
7508,-2870,8172,0.379171,0.02151,NA,map
7409,-2853,8175,0.393859,0.025634,NA,map
7309,-2837,8178,0.418836,0.036941,NA,map
7210,-2820,8180,0.436823,0.035359,NA,map
7210,-2689,8181,0.496752,0.05711,NA,map
7210,-2558,8181,0.410546,0.040773,NA,map
7283,-2478,8180,0.396078,0.028408,NA,map
7356,-2397,8178,0.408284,0.027546,NA,map
7391,-2297,8177,0.427393,0.023198,NA,map
7426,-2197,8177,0.448662,0.034061,NA,map
7462,-2096,8176,0.422002,0.011397,NA,map
7497,-1996,8176,0.421349,0.009682,NA,map
